"PitchNo","Date","Time","PAofInning","PitchofPA","Pitcher","PitcherId","PitcherThrows","PitcherTeam","Batter","BatterId","BatterSide","BatterTeam","PitcherSet","Inning","Top/Bottom","Outs","Balls","Strikes","TaggedPitchType","AutoPitchType","PitchCall","KorBB","TaggedHitType","PlayResult","OutsOnPlay","RunsScored","Notes","RelSpeed","VertRelAngle","HorzRelAngle","SpinRate","SpinAxis","Tilt","RelHeight","RelSide","Extension","VertBreak","InducedVertBreak","HorzBreak","PlateLocHeight","PlateLocSide","ZoneSpeed","VertApprAngle","HorzApprAngle","ZoneTime","ExitSpeed","Angle","Direction","HitSpinRate","PositionAt110X","PositionAt110Y","PositionAt110Z","Distance","LastTrackedDistance","Bearing","HangTime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","HomeTeam","AwayTeam","Stadium","Level","League","GameID","PitchUID","EffectiveVelo","MaxHeight","MeasuredDuration","SpeedDrop","PitchLastMeasuredX","PitchLastMeasuredY","PitchLastMeasuredZ","ContactPositionX","ContactPositionY","ContactPositionZ","GameUID","UTCDate","UTCTime","LocalDateTime","UTCDateTime","AutoHitType","System","HomeTeamForeignID","AwayTeamForeignID","GameForeignID","Catcher","CatcherId","CatcherThrows","CatcherTeam","PlayID","PitchTrajectoryXc0","PitchTrajectoryXc1","PitchTrajectoryXc2","PitchTrajectoryYc0","PitchTrajectoryYc1","PitchTrajectoryYc2","PitchTrajectoryZc0","PitchTrajectoryZc1","PitchTrajectoryZc2","HitSpinAxis","HitTrajectoryXc0","HitTrajectoryXc1","HitTrajectoryXc2","HitTrajectoryXc3","HitTrajectoryXc4","HitTrajectoryXc5","HitTrajectoryXc6","HitTrajectoryXc7","HitTrajectoryXc8","HitTrajectoryYc0","HitTrajectoryYc1","HitTrajectoryYc2","HitTrajectoryYc3","HitTrajectoryYc4","HitTrajectoryYc5","HitTrajectoryYc6","HitTrajectoryYc7","HitTrajectoryYc8","HitTrajectoryZc0","HitTrajectoryZc1","HitTrajectoryZc2","HitTrajectoryZc3","HitTrajectoryZc4","HitTrajectoryZc5","HitTrajectoryZc6","HitTrajectoryZc7","HitTrajectoryZc8","ThrowSpeed","PopTime","ExchangeTime","TimeToBase","CatchPositionX","CatchPositionY","CatchPositionZ","ThrowPositionX","ThrowPositionY","ThrowPositionZ","BasePositionX","BasePositionY","BasePositionZ","ThrowTrajectoryXc0","ThrowTrajectoryXc1","ThrowTrajectoryXc2","ThrowTrajectoryYc0","ThrowTrajectoryYc1","ThrowTrajectoryYc2","ThrowTrajectoryZc0","ThrowTrajectoryZc1","ThrowTrajectoryZc2","PitchReleaseConfidence","PitchLocationConfidence","PitchMovementConfidence","HitLaunchConfidence","HitLandingConfidence","CatcherThrowCatchConfidence","CatcherThrowReleaseConfidence","CatcherThrowLocationConfidence","source_file","source_path","BatSpeed","VerticalAttackAngle","HorizontalAttackAngle"
"67","2026-01-07","15:17:37.24","6","4","Norman, Ross","812727","Right","COA_CHA","Jones, Luke","831315","Right","COA_CHA","Undefined","2","Top","0","1","2","Sinker","Sinker","BallCalled","Undefined","Undefined","Undefined","0","0",NA,"88.05702","-2.055538","-3.427073","2256.883715","259.453347","2:45","5.61402","1.91927","5.7816","-31.87911","5.21","20.27548","1.04069","0.4165","79.08065","-7.970831","0.204302","0.438323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-11.56379","3.7604","-1.64887","50","5.42512","6.76703","-127.39124","-5.68313","-18.55559","31.91123","-26.14002","COA_CHA","COA_CHA","SpringsBrooksStadium","TeamExclusive","Team","20260107-SpringsBrooksStadium-Private-1","e88ef540-ec05-11f0-a0b4-9f64fd8cf2cb","85.99231",NA,NA,"8.97637",NA,NA,NA,NA,NA,NA,"d0676db4-fbf7-4c59-ae9c-0b826a80adf7","2026-01-07","20:17:37.24","2026-01-07T15:17:37.2470000-05:00","2026-01-07T20:17:37.2470000Z",NA,"v3","4104","4104",NA,NA,NA,"Undefined","COA_CHA","e76062d8-b8b7-4297-a13a-5445a3ae68a4","54.71658","-128.5673","15.95562","5.61682","-4.71976","-13.07001","-1.91087","7.45088","-9.2778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA,"20260107-SpringsBrooksStadium-Private-1_unverified.csv","C:/Users/aasmi/Costal Carolina/Trackman Data/PBP/2026/1/7",NA,NA,NA
"66","2026-01-07","15:17:15.27","6","3","Norman, Ross","812727","Right","COA_CHA","Jones, Luke","831315","Right","COA_CHA","Undefined","2","Top","0","0","2","Slider","Slider","BallCalled","Undefined","Undefined","Undefined","0","0",NA,"82.20857","-0.794148","-1.08207","2638.600741","63.156216","8:00","5.64455","2.1432","5.29125","-46.60428","-3.99284","-10.68288","1.015","0.23681","75.24826","-9.240577","-2.982564","0.469823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.08107","-1.43969","-2.03639","50","5.53781","2.68835","-119.27654","-3.33472","7.247","25.07499","-34.22743","COA_CHA","COA_CHA","SpringsBrooksStadium","TeamExclusive","Team","20260107-SpringsBrooksStadium-Private-1","db78bd00-ec05-11f0-a0b4-9f64fd8cf2cb","80.22682",NA,NA,"6.96031",NA,NA,NA,NA,NA,NA,"d0676db4-fbf7-4c59-ae9c-0b826a80adf7","2026-01-07","20:17:15.27","2026-01-07T15:17:15.2780000-05:00","2026-01-07T20:17:15.2780000Z",NA,"v3","4104","4104",NA,NA,NA,"Undefined","COA_CHA","7ec5e9bf-9b0d-47ae-8d4c-28c0566c83ae","55.20974","-120.36678","12.53749","5.65044","-1.84654","-17.11372","-2.14643","2.37325","3.6235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA,"20260107-SpringsBrooksStadium-Private-1_unverified.csv","C:/Users/aasmi/Costal Carolina/Trackman Data/PBP/2026/1/7",NA,NA,NA
"65","2026-01-07","15:16:59.32","6","2","Norman, Ross","812727","Right","COA_CHA","Jones, Luke","831315","Right","COA_CHA","Undefined","2","Top","0","0","1","Sinker","Sinker","StrikeCalled","Undefined","Undefined","Undefined","0","0",NA,"88.86183","-1.403041","-3.54472","2292.319278","244.846744","2:15","5.5391","2.23482","5.75356","-26.51387","9.77004","17.90966","2.02076","0.4233","79.9125","-6.361793","-0.343069","0.433539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-10.28339","5.82642","-1.95146","50","5.40657","7.18758","-128.60445","-4.05198","-16.90752","31.21639","-22.59447","COA_CHA","COA_CHA","SpringsBrooksStadium","TeamExclusive","Team","20260107-SpringsBrooksStadium-Private-1","d1fa5180-ec05-11f0-a0b4-9f64fd8cf2cb","86.94124",NA,NA,"8.94934",NA,NA,NA,NA,NA,NA,"d0676db4-fbf7-4c59-ae9c-0b826a80adf7","2026-01-07","20:16:59.32","2026-01-07T15:16:59.3280000-05:00","2026-01-07T20:16:59.3280000Z",NA,"v3","4104","4104",NA,NA,NA,"Undefined","COA_CHA","98690108-4347-45d0-84cc-495579c53745","54.74371","-129.75078","15.6082","5.54014","-3.22225","-11.29723","-2.2268","7.80847","-8.45376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA,"20260107-SpringsBrooksStadium-Private-1_unverified.csv","C:/Users/aasmi/Costal Carolina/Trackman Data/PBP/2026/1/7",NA,NA,NA
"64","2026-01-07","15:16:37.38","6","1","Norman, Ross","812727","Right","COA_CHA","Jones, Luke","831315","Right","COA_CHA","Undefined","2","Top","0","0","0","ChangeUp","Changeup","StrikeCalled","Undefined","Undefined","Undefined","0","0",NA,"83.07759","-0.725741","-3.689958","1731.283732","253.551732","2:30","5.51198","2.01459","5.59092","-36.48407","5.40894","12.9119","1.79255","-0.35964","74.68417","-7.473199","-1.38892","0.465846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-7.77099","3.44642","-1.70614","50","5.4262","7.21119","-120.15535","-2.76137","-11.12218","27.83743","-27.24141","COA_CHA","COA_CHA","SpringsBrooksStadium","TeamExclusive","Team","20260107-SpringsBrooksStadium-Private-1","c4e85f00-ec05-11f0-a0b4-9f64fd8cf2cb","80.91184",NA,NA,"8.39343",NA,NA,NA,NA,NA,NA,"d0676db4-fbf7-4c59-ae9c-0b826a80adf7","2026-01-07","20:16:37.38","2026-01-07T15:16:37.3850000-05:00","2026-01-07T20:16:37.3850000Z",NA,"v3","4104","4104",NA,NA,NA,"Undefined","COA_CHA","93de9a78-8a9d-4b9a-add5-8f80d6967ea6","54.90535","-121.28649","13.91871","5.51592","-1.65445","-13.62071","-2.00834","7.66312","-5.56109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA,"20260107-SpringsBrooksStadium-Private-1_unverified.csv","C:/Users/aasmi/Costal Carolina/Trackman Data/PBP/2026/1/7",NA,NA,NA
"63","2026-01-07","15:16:20.14","5","6","Norman, Ross","812727","Right","COA_CHA","Jones, Luke","831315","Right","COA_CHA","Undefined","2","Top","0","3","2","ChangeUp","Changeup","BallCalled","Walk","Undefined","Undefined","0","0",NA,"83.96287","0.49962","-1.913073","1901.830645","281.34457","3:30","5.5455","2.18838","5.68634","-42.4803","-1.47075","15.39969","2.47143","1.68791","75.03288","-7.351496","0.842927","0.460907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-8.41201","-0.37957","-2.03677","50","5.56174","3.39969","-121.5685","-0.44046","-12.2378","30.02128","-32.72623","COA_CHA","COA_CHA","SpringsBrooksStadium","TeamExclusive","Team","20260107-SpringsBrooksStadium-Private-1","ba870d90-ec05-11f0-a0b4-9f64fd8cf2cb","81.77875",NA,NA,"8.92999",NA,NA,NA,NA,NA,NA,"d0676db4-fbf7-4c59-ae9c-0b826a80adf7","2026-01-07","20:16:20.14","2026-01-07T15:16:20.1460000-05:00","2026-01-07T20:16:20.1460000Z",NA,"v3","4104","4104",NA,NA,NA,"Undefined","COA_CHA","14a8616a-a340-4036-a42c-8480e2e734e9","54.80874","-122.75028","15.01064","5.55372","0.84779","-16.36312","-2.18009","3.88142","-6.1189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA,"20260107-SpringsBrooksStadium-Private-1_unverified.csv","C:/Users/aasmi/Costal Carolina/Trackman Data/PBP/2026/1/7",NA,NA,NA
"62","2026-01-07","15:16:03.60","5","5","Norman, Ross","812727","Right","COA_CHA","Jones, Luke","831315","Right","COA_CHA","Undefined","2","Top","0","2","2","Sinker","Sinker","BallCalled","Undefined","Undefined","Undefined","0","0",NA,"87.35452","-2.34186","-3.115706","2271.097357","239.400274","2:00","5.57039","2.05884","5.823","-26.62183","10.94505","16.06489","1.17028","0.49809","78.48984","-7.327067","-0.237375","0.441137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-9.28626","6.7941","-1.8136","50","5.36308","6.20449","-126.3871","-6.04132","-14.69634","30.94263","-21.42177","COA_CHA","COA_CHA","SpringsBrooksStadium","TeamExclusive","Team","20260107-SpringsBrooksStadium-Private-1","b0bc2fc0-ec05-11f0-a0b4-9f64fd8cf2cb","85.44377",NA,NA,"8.86468",NA,NA,NA,NA,NA,NA,"d0676db4-fbf7-4c59-ae9c-0b826a80adf7","2026-01-07","20:16:03.60","2026-01-07T15:16:03.6060000-05:00","2026-01-07T20:16:03.6060000Z",NA,"v3","4104","4104",NA,NA,NA,"Undefined","COA_CHA","dbfb5181-3979-49de-b50b-f3b6e468665c","54.67414","-127.52631","15.47132","5.57098","-5.25263","-10.71089","-2.05199","6.74557","-7.34817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA,"20260107-SpringsBrooksStadium-Private-1_unverified.csv","C:/Users/aasmi/Costal Carolina/Trackman Data/PBP/2026/1/7",NA,NA,NA
"61","2026-01-07","15:15:42.93","5","4","Norman, Ross","812727","Right","COA_CHA","Jones, Luke","831315","Right","COA_CHA","Undefined","2","Top","0","1","2","Sinker","Sinker","BallCalled","Undefined","Undefined","Undefined","0","0",NA,"88.63372","-2.64431","-4.121426","2346.30643","242.361547","2:00","5.59253","1.91131","5.9507","-25.89875","10.43449","17.28277","0.97371","-0.47752","79.74068","-7.498791","-1.022353","0.433834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-10.183","6.63776","-1.59242","50","5.3673","8.4898","-128.10711","-6.77171","-16.60077","31.15576","-21.35285","COA_CHA","COA_CHA","SpringsBrooksStadium","TeamExclusive","Team","20260107-SpringsBrooksStadium-Private-1","a46db450-ec05-11f0-a0b4-9f64fd8cf2cb","86.88216",NA,NA,"8.89304",NA,NA,NA,NA,NA,NA,"d0676db4-fbf7-4c59-ae9c-0b826a80adf7","2026-01-07","20:15:42.93","2026-01-07T15:15:42.9340000-05:00","2026-01-07T20:15:42.9340000Z",NA,"v3","4104","4104",NA,NA,NA,"Undefined","COA_CHA","af2b89dd-4260-48a1-8a23-2fbf60109846","54.54553","-129.20786","15.57788","5.59322","-6.0173","-10.67643","-1.90273","9.07631","-8.30039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA,"20260107-SpringsBrooksStadium-Private-1_unverified.csv","C:/Users/aasmi/Costal Carolina/Trackman Data/PBP/2026/1/7",NA,NA,NA
"60","2026-01-07","15:15:25.03","5","3","Norman, Ross","812727","Right","COA_CHA","Jones, Luke","831315","Right","COA_CHA","Undefined","2","Top","0","0","2","Slider","Curveball","BallCalled","Undefined","Undefined","Undefined","0","0",NA,"81.7991","0.677531","-0.332745","2655.206893","44.84417","7:30","5.64249","1.9641","5.45374","-48.99806","-6.1163","-7.54512","2.19362","1.02384","74.41504","-8.260834","-1.678642","0.471311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.69362","-2.85606","-1.92942","50","5.66862","1.00003","-118.68228","-0.35065","5.20203","25.37817","-36.19644","COA_CHA","COA_CHA","SpringsBrooksStadium","TeamExclusive","Team","20260107-SpringsBrooksStadium-Private-1","99c6ce60-ec05-11f0-a0b4-9f64fd8cf2cb","79.9736",NA,NA,"7.38405",NA,NA,NA,NA,NA,NA,"d0676db4-fbf7-4c59-ae9c-0b826a80adf7","2026-01-07","20:15:25.03","2026-01-07T15:15:25.0370000-05:00","2026-01-07T20:15:25.0370000Z",NA,"v3","4104","4104",NA,NA,NA,"Undefined","COA_CHA","7fcf4e21-6b4b-4878-bbda-0c32d9fbfa3e","55.04566","-119.75635","12.68909","5.65104","1.18127","-18.09822","-1.96708","0.77987","2.60101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA,"20260107-SpringsBrooksStadium-Private-1_unverified.csv","C:/Users/aasmi/Costal Carolina/Trackman Data/PBP/2026/1/7",NA,NA,NA
"59","2026-01-07","15:15:08.81","5","2","Norman, Ross","812727","Right","COA_CHA","Jones, Luke","831315","Right","COA_CHA","Undefined","2","Top","0","0","1","Slider","Slider","StrikeCalled","Undefined","Undefined","Undefined","0","0",NA,"82.42092","0.033637","-1.233107","2649.495689","46.288654","7:30","5.74506","1.98211","5.28898","-46.1168","-3.48099","-5.2115","1.93358","0.38975","74.81219","-8.363965","-2.159548","0.469958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.21874","-1.34095","-1.86581","50","5.71438","2.79077","-119.48419","-1.61024","3.15868","26.2919","-34.08304","COA_CHA","COA_CHA","SpringsBrooksStadium","TeamExclusive","Team","20260107-SpringsBrooksStadium-Private-1","901df780-ec05-11f0-a0b4-9f64fd8cf2cb","80.20391",NA,NA,"7.60874",NA,NA,NA,NA,NA,NA,"d0676db4-fbf7-4c59-ae9c-0b826a80adf7","2026-01-07","20:15:08.81","2026-01-07T15:15:08.8120000-05:00","2026-01-07T20:15:08.8120000Z",NA,"v3","4104","4104",NA,NA,NA,"Undefined","COA_CHA","31934cf8-78c6-4fb2-bf70-7a2be96bbceb","55.2097","-120.62511","13.14595","5.75217","-0.13123","-17.04152","-1.98394","2.6537","1.57934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA,"20260107-SpringsBrooksStadium-Private-1_unverified.csv","C:/Users/aasmi/Costal Carolina/Trackman Data/PBP/2026/1/7",NA,NA,NA
"58","2026-01-07","15:14:48.73","5","1","Norman, Ross","812727","Right","COA_CHA","Jones, Luke","831315","Right","COA_CHA","Undefined","2","Top","0","0","0","Sinker","Sinker","StrikeCalled","Undefined","Undefined","Undefined","0","0",NA,"87.7701","-0.730764","-2.757441","2294.423173","231.636044","1:45","5.56103","2.11917","5.74397","-25.746","11.55587","12.78359","2.73432","0.61513","78.57029","-5.57334","-0.471501","0.439579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-7.39","6.53965","-1.89747","50","5.48486","5.55552","-127.04021","-2.46698","-11.81191","31.35551","-21.72129","COA_CHA","COA_CHA","SpringsBrooksStadium","TeamExclusive","Team","20260107-SpringsBrooksStadium-Private-1","840ad760-ec05-11f0-a0b4-9f64fd8cf2cb","85.7467",NA,NA,"9.19981",NA,NA,NA,NA,NA,NA,"d0676db4-fbf7-4c59-ae9c-0b826a80adf7","2026-01-07","20:14:48.73","2026-01-07T15:14:48.7320000-05:00","2026-01-07T20:14:48.7320000Z",NA,"v3","4104","4104",NA,NA,NA,"Undefined","COA_CHA","ca926760-2aa8-47a5-878e-c62bad1f28e8","54.75036","-128.20731","15.67776","5.56164","-1.65848","-10.86064","-2.11243","5.99517","-5.90595",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High",NA,NA,NA,NA,NA,"20260107-SpringsBrooksStadium-Private-1_unverified.csv","C:/Users/aasmi/Costal Carolina/Trackman Data/PBP/2026/1/7",NA,NA,NA
